MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1891697,Ackr2,atypical chemokine receptor 2,9,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:109562,Ackr3,atypical chemokine receptor 3,1,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:109562,Ackr3,atypical chemokine receptor 3,1,,positive regulation of mesenchymal stem cell migration,,,ISO,RGD:620601 ,J:155856 
MGI:2181676,Ackr4,atypical chemokine receptor 4,9,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:87883,Acp5,"acid phosphatase 5, tartrate resistant",9,,positive regulation of cell migration,,,ISO,RGD:2022 ,J:155856 
MGI:87909,Acta2,"actin alpha 2, smooth muscle, aorta",19,,positive regulation of hepatic stellate cell migration,,,ISO,RGD:621676 ,J:155856 
MGI:87906,Actg1,"actin, gamma, cytoplasmic 1",11,,positive regulation of cell migration,,,ISO,P63261 ,J:164563 
MGI:1890773,Actn4,actinin alpha 4,7,,positive regulation of cell migration,,,ISO,O43707 ,J:164563 
MGI:1921367,Actr3,ARP3 actin-related protein 3,1,,positive regulation of fibroblast migration,,,ISO,RGD:71024 ,J:155856 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,neural crest cell migration,happens in outflow tract,,IMP,MGI:2651395 ,J:90988 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,positive regulation of cell migration,,,ISO,Q04771 ,J:164563 
MGI:1338944,Acvr1b,"activin A receptor, type 1B",15,,positive regulation of trophoblast cell migration,,,ISO,P36896 ,J:164563 
MGI:2661081,Acvr1c,"activin A receptor, type IC",2,,negative regulation of trophoblast cell migration,,,ISO,Q8NER5 ,J:164563 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,negative regulation of blood vessel endothelial cell migration,,,ISO,P37023 ,J:164563 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,negative regulation of cell migration,,,ISO,P37023 ,J:164563 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,negative regulation of endothelial cell migration,,,ISO,P37023 ,J:164563 
MGI:1338946,Acvrl1,"activin A receptor, type II-like 1",15,,"wound healing, spreading of epidermal cells",,,ISO,P37023 ,J:164563 
MGI:87916,Ada,adenosine deaminase,2,,leukocyte migration,happens in lung,,IGI,MGI:104847 ,J:91943 
MGI:87916,Ada,adenosine deaminase,2,,leukocyte migration,happens in lung,,IGI,MGI:99401 ,J:95142 
MGI:87916,Ada,adenosine deaminase,2,,leukocyte migration,happens in lung,,IMP,MGI:1857117 ,J:91943 J:95142 
MGI:87916,Ada,adenosine deaminase,2,,leukocyte migration,happens in lung,,IMP,MGI:2683027 ,J:91943 J:95142 
MGI:87916,Ada,adenosine deaminase,2,,negative regulation of leukocyte migration,negatively regulates leukocyte migration,,IGI,MGI:104847 ,J:91943 
MGI:87916,Ada,adenosine deaminase,2,,negative regulation of leukocyte migration,negatively regulates leukocyte migration,,IGI,MGI:99401 ,J:95142 
MGI:87916,Ada,adenosine deaminase,2,,negative regulation of leukocyte migration,negatively regulates leukocyte migration,,IMP,MGI:1857117 ,J:91943 J:95142 
MGI:87916,Ada,adenosine deaminase,2,,negative regulation of leukocyte migration,negatively regulates leukocyte migration,,IMP,MGI:2683027 ,J:91943 J:95142 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,blood vessel endothelial cell migration,,,NAS,,J:172962 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,leukocyte migration involved in inflammatory response,,,IMP,,J:172944 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,lymphocyte chemotaxis,,,IDA,,J:165123 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,positive regulation of cellular extravasation,,,IBA,PTN002628675 ,J:265628 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,positive regulation of cellular extravasation,,,IMP,,J:172944 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,positive regulation of eosinophil migration,,,IMP,,J:172944 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,positive regulation of fibronectin-dependent thymocyte migration,,,IMP,,J:165123 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,positive regulation of neutrophil extravasation,,,ISO,P78325 ,J:164563 
MGI:107825,Adam8,a disintegrin and metallopeptidase domain 8,7,,positive regulation of T cell migration,,,IMP,,J:172944 
MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),8,,cell migration,,,IDA,,J:233591 
MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),8,,positive regulation of cell migration,,,ISO,Q13443 ,J:164563 
MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),8,,positive regulation of keratinocyte migration,,,ISO,Q13443 ,J:164563 
MGI:109548,Adam10,a disintegrin and metallopeptidase domain 10,9,,positive regulation of cell migration,,,ISO,O14672 ,J:164563 
MGI:109548,Adam10,a disintegrin and metallopeptidase domain 10,9,,positive regulation of T cell chemotaxis,,,ISO,O14672 ,J:164563 
MGI:1333882,Adam15,a disintegrin and metallopeptidase domain 15 (metargidin),3,,negative regulation of cell migration,,,ISO,Q13444 ,J:164563 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,positive regulation of blood vessel endothelial cell migration,,,ISO,P78536 ,J:164563 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,positive regulation of cell migration,,,ISO,P78536 ,J:164563 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,positive regulation of T cell chemotaxis,,,ISO,P78536 ,J:164563 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,regulation of neuron migration,,,IGI,MGI:1097159 ,J:227692 
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12,,regulation of neuron migration,,,IGI,MGI:2443718 ,J:227692 
MGI:109249,Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1",16,,positive regulation of vascular associated smooth muscle cell migration,,,ISO,Q9UHI8 ,J:164563 
MGI:1916320,Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",6,,negative regulation of endothelial cell migration,happens in brain microvascular endothelial cell,UniProtKB:E9PYV8,IMP,,J:156090 
MGI:2146046,Adamts12,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12",15,,cell migration,,,ISO,P58397 ,J:164563 
MGI:891999,Adarb1,"adenosine deaminase, RNA-specific, B1",10,,negative regulation of cell migration,,,ISO,P78563 ,J:164563 
MGI:87919,Add2,adducin 2 (beta),6,,leukocyte migration,,,ISO,P35612 ,J:164563 
MGI:87919,Add2,adducin 2 (beta),6,,leukocyte tethering or rolling,,,ISO,P35612 ,J:164563 
MGI:1925810,Adgra2,adhesion G protein-coupled receptor A2,8,,endothelial cell migration,,,IMP,,J:166127 
MGI:1925810,Adgra2,adhesion G protein-coupled receptor A2,8,,positive regulation of endothelial cell migration,,,IDA,,J:171226 
MGI:1933736,Adgrb1,adhesion G protein-coupled receptor B1,15,,negative regulation of endothelial cell migration,,,ISO,O14514 ,J:164563 
MGI:1340051,Adgrg1,adhesion G protein-coupled receptor G1,8,,cell migration,,,ISO,Q9Y653 ,J:164563 
MGI:1340051,Adgrg1,adhesion G protein-coupled receptor G1,8,,cerebral cortex radial glia-guided migration,,,IMP,,J:136385 
MGI:1340051,Adgrg1,adhesion G protein-coupled receptor G1,8,,layer formation in cerebral cortex,,,IMP,,J:136385 
MGI:1340051,Adgrg1,adhesion G protein-coupled receptor G1,8,,negative regulation of neuron migration,,,IMP,,J:136385 
MGI:1859670,Adgrg3,adhesion G protein-coupled receptor G3,8,,regulation of cell migration,,,ISO,Q86Y34 ,J:164563 
MGI:2441950,Adgrl3,adhesion G protein-coupled receptor L3,5,,neuron migration,,,IMP,,J:224713 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,negative regulation of cell migration,,,IDA,,J:169978 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,negative regulation of metanephric mesenchymal cell migration,,,IDA,,J:169978 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,negative regulation of vascular associated smooth muscle cell migration,,,ISO,Q15848 ,J:164563 
MGI:1919924,Adipor1,adiponectin receptor 1,1,,negative regulation of epithelial cell migration,,,ISO,Q96A54 ,J:164563 
MGI:93830,Adipor2,adiponectin receptor 2,6,,negative regulation of hepatic stellate cell migration,,,ISO,RGD:1307891 ,J:155856 
MGI:99401,Adora1,adenosine A1 receptor,1,,leukocyte migration,happens in lung,,IGI,MGI:87916 ,J:95142 
MGI:99401,Adora1,adenosine A1 receptor,1,,negative regulation of leukocyte migration,negatively regulates leukocyte migration,,IGI,MGI:87916 ,J:95142 
MGI:99403,Adora2b,adenosine A2b receptor,11,,positive regulation of endothelial cell migration,,,ISO,RGD:2050 ,J:155856 
MGI:104847,Adora3,adenosine A3 receptor,3,,negative regulation of cell migration,,,ISO,P0DMS9 ,J:164563 
MGI:104847,Adora3,adenosine A3 receptor,3,,positive regulation of leukocyte migration,happens in lung,,IGI,MGI:87916 ,J:91943 
MGI:104847,Adora3,adenosine A3 receptor,3,,positive regulation of leukocyte migration,happens in lung,,IMP,MGI:2155986 ,J:91943 
MGI:87934,Adra2a,"adrenergic receptor, alpha 2a",19,,positive regulation of cell migration,,,ISO,P08913 ,J:164563 
MGI:1924596,Adtrp,androgen dependent TFPI regulating protein,13,,cell migration involved in sprouting angiogenesis,,,ISO,Q96IZ2 ,J:164563 
MGI:1924596,Adtrp,androgen dependent TFPI regulating protein,13,,negative regulation of leukocyte migration,,,ISO,Q96IZ2 ,J:164563 
MGI:1924596,Adtrp,androgen dependent TFPI regulating protein,13,,negative regulation of lymphocyte migration,,,ISO,Q96IZ2 ,J:164563 
MGI:1314653,Afdn,"afadin, adherens junction formation factor",17,,negative regulation of cell migration,,,ISO,P55196 ,J:164563 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,negative regulation of cell migration,,PR:Q62151-10,ISO,PR:Q15109-10 ,J:73065 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,negative regulation of endothelial cell migration,,,ISO,RGD:69258 ,J:155856 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,positive regulation of cell migration,,PR:Q62151-1,ISO,PR:Q15109-1 ,J:73065 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,positive regulation of cell migration,,,ISO,RGD:69258 ,J:155856 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,positive regulation of fibroblast migration,,,ISO,RGD:69258 ,J:155856 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,positive regulation of monocyte extravasation,,,ISO,Q15109 ,J:164563 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,positive regulation of smooth muscle cell migration,,,ISO,RGD:69258 ,J:155856 
MGI:2446632,Ago2,argonaute RISC catalytic subunit 2,15,,positive regulation of trophoblast cell migration,,,ISO,Q9UKV8 ,J:164563 
MGI:87963,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",8,,positive regulation of endothelial cell migration,,,ISO,P01019 ,J:164563 
MGI:87963,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",8,,positive regulation of vascular associated smooth muscle cell migration,,,ISO,RGD:2069 ,J:155856 
MGI:87964,Agtr1a,"angiotensin II receptor, type 1a",13,,cell chemotaxis,,,ISO,P30556 ,J:164563 
MGI:87965,Agtr1b,"angiotensin II receptor, type 1b",3,,cell chemotaxis,,,ISO,P30556 ,J:164563 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,negative regulation of smooth muscle cell chemotaxis,,,ISO,P55008 ,J:164563 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,positive regulation of cell migration,,,ISO,RGD:61924 ,J:155856 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,positive regulation of cell migration,,,ISO,P55008 ,J:164563 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,positive regulation of monocyte chemotaxis,,,ISO,P55008 ,J:164563 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,positive regulation of mononuclear cell migration,,,ISO,P55008 ,J:164563 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,positive regulation of smooth muscle cell chemotaxis,,,ISO,P55008 ,J:164563 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,positive regulation of T cell migration,,,ISO,P55008 ,J:164563 
MGI:102774,Aimp1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1,3,,leukocyte migration,,,IDA,,J:127945 
MGI:102774,Aimp1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1,3,,leukocyte migration,,,ISO,Q12904 ,J:164563 
MGI:1338803,Aire,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy),10,,regulation of thymocyte migration,,,IBA,PTN002931439 ,J:265628 
MGI:1338803,Aire,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy),10,,regulation of thymocyte migration,,,IMP,,J:157503 
MGI:1341886,Ajuba,ajuba LIM protein,14,,regulation of cell migration,,,IDA,,J:98248 
MGI:1341886,Ajuba,ajuba LIM protein,14,,regulation of cell migration,,,IMP,MGI:3578221 ,J:98248 
MGI:1341886,Ajuba,ajuba LIM protein,14,,"wound healing, spreading of epidermal cells",,,IMP,MGI:3578221 ,J:98248 
MGI:1932576,Akap12,A kinase (PRKA) anchor protein (gravin) 12,10,,positive regulation of hepatic stellate cell migration,,,ISO,RGD:70988 ,J:155856 
MGI:1915300,Akirin1,akirin 1,4,,myoblast migration involved in skeletal muscle regeneration,,,IBA,PTN002665250 ,J:265628 
MGI:1915300,Akirin1,akirin 1,4,,myoblast migration involved in skeletal muscle regeneration,,,IMP,,J:150456 
MGI:1915300,Akirin1,akirin 1,4,,positive regulation of macrophage chemotaxis,,,IBA,PTN002665250 ,J:265628 
MGI:1915300,Akirin1,akirin 1,4,,positive regulation of macrophage chemotaxis,,,IMP,,J:150456 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,cell migration involved in sprouting angiogenesis,,,ISO,P31749 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,negative regulation of lymphocyte migration,,,ISO,P31749 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,positive regulation of blood vessel endothelial cell migration,,,ISO,P31749 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,positive regulation of endothelial cell migration,,,ISO,P31749 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,positive regulation of fibroblast migration,,,IMP,,J:204104 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,regulation of cell migration,,,ISO,RGD:2081 ,J:155856 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,regulation of cell migration,,,ISO,P31749 ,J:164563 
MGI:104874,Akt2,thymoma viral proto-oncogene 2,7,,positive regulation of cell migration,,,ISO,RGD:2082 ,J:155856 
MGI:104874,Akt2,thymoma viral proto-oncogene 2,7,,positive regulation of cell migration,,,ISO,P31751 ,J:164563 
MGI:1345147,Akt3,thymoma viral proto-oncogene 3,1,,positive regulation of blood vessel endothelial cell migration,,,ISO,Q9Y243 ,J:164563 
MGI:1345147,Akt3,thymoma viral proto-oncogene 3,1,,positive regulation of cell migration involved in sprouting angiogenesis,,,ISO,Q9Y243 ,J:164563 
MGI:87994,Aldoa,"aldolase A, fructose-bisphosphate",7,,positive regulation of cell migration,,,IMP,,J:250041 
MGI:2384034,Alkbh1,"alkB homolog 1, histone H2A dioxygenase",12,,neuron migration,,,IDA,,J:114625 
MGI:87999,Alox5,arachidonate 5-lipoxygenase,6,,dendritic cell migration,,,IMP,,J:122095 
MGI:87999,Alox5,arachidonate 5-lipoxygenase,6,,leukocyte chemotaxis involved in inflammatory response,,,ISO,P09917 ,J:164563 
MGI:87999,Alox5,arachidonate 5-lipoxygenase,6,,leukocyte migration involved in inflammatory response,,,IMP,,J:284986 
MGI:87998,Alox12,arachidonate 12-lipoxygenase,11,,positive regulation of blood vessel endothelial cell migration,,,ISO,RGD:1311159 ,J:155856 
MGI:104621,Alx1,ALX homeobox 1,10,,neural crest cell migration,,,IEA,IPR033209 ,J:72247 
MGI:108440,Amot,angiomotin,X,,blood vessel endothelial cell migration,results in the movement of blood vessel endothelial cell,,IMP,MGI:2656627 ,J:123910 
MGI:108440,Amot,angiomotin,X,,cell migration involved in gastrulation,happens in embryo endoderm,,IMP,MGI:2656627 ,J:82844 
MGI:108440,Amot,angiomotin,X,,establishment of cell polarity involved in ameboidal cell migration,,,IBA,PTN000381812 ,J:265628 
MGI:108440,Amot,angiomotin,X,,establishment of cell polarity involved in ameboidal cell migration,happens in blood vessel endothelial cell,,IMP,MGI:2656627 ,J:123910 
MGI:108440,Amot,angiomotin,X,,establishment of cell polarity involved in ameboidal cell migration,happens in blood vessel endothelial cell,,IMP,,J:144247 
MGI:108440,Amot,angiomotin,X,,positive regulation of blood vessel endothelial cell migration,,,ISO,Q4VCS5 ,J:164563 
MGI:108440,Amot,angiomotin,X,,regulation of cell migration,,,IBA,PTN000381810 ,J:265628 
MGI:108440,Amot,angiomotin,X,,regulation of cell migration,,,ISO,Q4VCS5 ,J:73065 
MGI:1922973,Amotl1,angiomotin-like 1,9,,blood vessel endothelial cell migration,happens in aorta endothelium,,IMP,,J:164933 
MGI:1922973,Amotl1,angiomotin-like 1,9,,blood vessel endothelial cell migration,results in the movement of aortic endothelial cell,,IMP,,J:164933 
MGI:1922973,Amotl1,angiomotin-like 1,9,,establishment of cell polarity involved in ameboidal cell migration,,,IBA,PTN000381812 ,J:265628 
MGI:1922973,Amotl1,angiomotin-like 1,9,,establishment of cell polarity involved in ameboidal cell migration,"happens in aortic endothelial cell,happens in aorta endothelium",,IMP,,J:164933 
MGI:1922973,Amotl1,angiomotin-like 1,9,,positive regulation of blood vessel endothelial cell migration,positively regulates blood vessel endothelial cell migration,,IMP,,J:164933 
MGI:1922973,Amotl1,angiomotin-like 1,9,,regulation of cell migration,,,IBA,PTN000381810 ,J:265628 
MGI:1929286,Amotl2,angiomotin-like 2,9,,establishment of cell polarity involved in ameboidal cell migration,,,IBA,PTN000381812 ,J:265628 
MGI:1929286,Amotl2,angiomotin-like 2,9,,regulation of cell migration,,,IBA,PTN000381810 ,J:265628 
MGI:88022,Ang,"angiogenin, ribonuclease, RNase A family, 5",14,,cell migration,,,ISO,P03950 ,J:164563 
MGI:104984,Ang2,"angiogenin, ribonuclease A family, member 2",14,,cell migration,,,ISO,P03950 ,J:164563 
MGI:1201793,Ang3,"angiogenin, ribonuclease A family, member 3",14,,cell migration,,,ISO,P03950 ,J:164563 
MGI:2656551,Ang4,"angiogenin, ribonuclease A family, member 4",14,,cell migration,,,ISO,P03950 ,J:164563 
MGI:3528602,Ang6,"angiogenin, ribonuclease A family, member 6",14,,cell migration,,,ISO,P03950 ,J:164563 
MGI:108448,Angpt1,angiopoietin 1,15,,positive regulation of blood vessel endothelial cell migration,,,ISO,Q15389 ,J:164563 
MGI:108448,Angpt1,angiopoietin 1,15,,positive regulation of endothelial cell migration,,,ISO,Q15389 ,J:164563 
MGI:108448,Angpt1,angiopoietin 1,15,,positive regulation of endothelial cell migration,,,TAS,,J:169941 
MGI:1202890,Angpt2,angiopoietin 2,8,,negative regulation of blood vessel endothelial cell migration,,,ISO,O15123 ,J:164563 
MGI:1336887,Angpt4,angiopoietin 4,2,,negative regulation of blood vessel endothelial cell migration,,,ISO,Q9Y264 ,J:164563 
MGI:1336887,Angpt4,angiopoietin 4,2,,positive regulation of blood vessel endothelial cell migration,,,ISO,Q9Y264 ,J:164563 
MGI:1336887,Angpt4,angiopoietin 4,2,,positive regulation of endothelial cell migration,,,ISO,Q9Y264 ,J:164563 
MGI:1353627,Angptl3,angiopoietin-like 3,4,,positive regulation of cell migration,,,ISO,Q9Y5C1 ,J:164563 
MGI:2446180,Anks1,ankyrin repeat and SAM domain containing 1,17,,substrate-dependent cell migration,,,IDA,,J:129044 
MGI:1920174,Anln,"anillin, actin binding protein",9,,podocyte cell migration,,,ISO,Q9NQW6 ,J:164563 
MGI:2145890,Ano6,anoctamin 6,15,,dendritic cell chemotaxis,happens in dendritic cell,,IMP,,J:203552 
MGI:2145890,Ano6,anoctamin 6,15,,positive regulation of monocyte chemotaxis,"happens in macrophage,uses UniProtKB:P10148",,IMP,,J:220493 
MGI:2145890,Ano6,anoctamin 6,15,,positive regulation of monocyte chemotaxis,,,ISO,Q4KMQ2 ,J:164563 
MGI:96819,Anxa1,annexin A1,19,,granulocyte chemotaxis,,,IBA,PTN002574794 ,J:265628 
MGI:96819,Anxa1,annexin A1,19,,granulocyte chemotaxis,,,ISO,P04083 ,J:164563 
MGI:96819,Anxa1,annexin A1,19,,monocyte chemotaxis,,,ISO,P04083 ,J:164563 
MGI:96819,Anxa1,annexin A1,19,,myoblast migration involved in skeletal muscle regeneration,,,IBA,PTN002574794 ,J:265628 
MGI:96819,Anxa1,annexin A1,19,,myoblast migration involved in skeletal muscle regeneration,,,IDA,,J:219177 
MGI:96819,Anxa1,annexin A1,19,,positive regulation of cell migration involved in sprouting angiogenesis,,,IBA,PTN002574794 ,J:265628 
MGI:96819,Anxa1,annexin A1,19,,positive regulation of cell migration involved in sprouting angiogenesis,,,ISO,P04083 ,J:164563 
MGI:96819,Anxa1,annexin A1,19,,regulation of leukocyte migration,,,IBA,PTN002574794 ,J:265628 
MGI:96819,Anxa1,annexin A1,19,,regulation of leukocyte migration,,,IMP,,J:81498 
MGI:1201378,Anxa3,annexin A3,5,,positive regulation of endothelial cell migration,,,ISO,P12429 ,J:164563 
MGI:88255,Anxa6,annexin A6,11,,neural crest cell migration,,,IBA,PTN002574762 ,J:265628 
MGI:1306797,Aoc3,"amine oxidase, copper containing 3",11,,leukocyte migration involved in inflammatory response,,,ISO,RGD:62058 ,J:155856 
MGI:1306797,Aoc3,"amine oxidase, copper containing 3",11,,positive regulation of leukocyte migration,,,ISO,RGD:62058 ,J:155856 
MGI:107765,Apbb1,"amyloid beta (A4) precursor protein-binding, family B, member 1",7,,neuron migration,"happens in cerebral cortex,results in the movement of CNS neuron (sensu Vertebrata)",,IGI,MGI:108405 ,J:105160 
MGI:108405,Apbb2,"amyloid beta (A4) precursor protein-binding, family B, member 2",5,,neuron migration,"happens in cerebral cortex,results in the movement of CNS neuron (sensu Vertebrata)",,IGI,MGI:107765 ,J:105160 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,cell migration,,,IBA,PTN000288612 ,J:265628 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,cell migration,happens in intestine epithelium,,IMP,MGI:1857966 ,J:90759 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,cell migration,,,ISO,P25054 ,J:164563 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,fibroblast migration,results in the movement of fibroblast,,IMP,,J:124024 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,positive regulation of cell migration,,,ISO,P25054 ,J:73065 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,positive regulation of fibroblast migration,positively regulates fibroblast migration,,IMP,,J:124024 
